#LST
665	proj.img
436	start.hed	503.74,  0.762236,1.367,4.789,0
235	start.hed	510.89,  -1.061410,-0.745,3.330,1
368	start.hed	505.00,  -1.613224,-6.250,3.951,0
865	start.hed	502.51,  -1.256287,-10.324,4.002,1
153	start.hed	509.37,  -3.065114,-2.214,-3.253,1
161	start.hed	515.50,  -2.764236,-2.527,-9.825,0
186	start.hed	516.75,  -0.386200,-1.838,13.777,0
2143	start.hed	511.88,  0.069241,-1.512,3.890,0
2459	start.hed	508.58,  1.109019,3.476,1.695,0
2577	start.hed	512.71,  1.610919,11.834,-3.694,1
2809	start.hed	511.10,  0.392916,3.273,5.858,0
2716	start.hed	518.21,  1.063804,9.757,1.767,1
3546	start.hed	516.99,  2.286517,5.209,-1.972,0
3912	start.hed	509.29,  1.054357,8.972,-0.640,0
4269	start.hed	520.50,  2.891471,0.531,-4.804,0
4403	start.hed	505.40,  1.568877,2.996,0.998,0
4122	start.hed	513.76,  -1.906734,-5.358,-3.777,0
5025	start.hed	509.56,  1.571332,6.066,3.010,0
6196	start.hed	503.25,  -0.048439,3.921,10.310,1
6790	start.hed	513.18,  1.410365,9.207,2.841,1
6680	start.hed	504.27,  -2.618496,-2.702,-2.160,0
6877	start.hed	517.17,  0.126905,2.715,5.158,1
6988	start.hed	508.43,  0.607182,4.753,3.472,1
9372	start.hed	508.39,  -1.202374,-6.178,-11.741,0
9458	start.hed	530.45,  -2.600953,-3.296,-4.704,1
9462	start.hed	512.54,  1.172794,3.335,2.591,0
9649	start.hed	502.86,  0.525414,3.016,4.099,1
9991	start.hed	509.95,  0.636721,3.137,4.015,0
9959	start.hed	510.27,  -3.228717,0.178,-5.129,1
10886	start.hed	507.65,  -3.035004,1.024,-5.663,0
10960	start.hed	515.33,  1.044439,4.897,1.601,0
11189	start.hed	509.26,  -0.185510,-1.532,4.544,0
11438	start.hed	512.96,  0.668914,3.618,4.893,0
11542	start.hed	512.66,  0.668336,3.549,4.933,0
11649	start.hed	511.18,  -2.253689,-1.833,-4.759,0
12026	start.hed	518.73,  -2.586273,-6.346,-10.835,1
12060	start.hed	510.27,  -2.303876,-2.154,-3.150,0
12153	start.hed	518.73,  -2.586273,-6.346,-10.835,1
12187	start.hed	510.27,  -2.303876,-2.154,-3.150,0
12518	start.hed	509.38,  2.077724,4.483,-3.534,1
12814	start.hed	509.64,  2.079798,4.486,-3.466,1
13696	start.hed	510.75,  0.296789,-0.436,1.950,0
14258	start.hed	502.45,  -2.513359,-1.780,-0.834,0
14501	start.hed	506.63,  -2.546545,0.302,-0.178,1
14558	start.hed	506.34,  2.282880,4.237,-0.245,0
14587	start.hed	505.41,  -2.828952,0.571,-1.374,0
14941	start.hed	511.39,  0.000871,-1.961,3.997,0
