#LST
430	proj.img
229	start.hed	503.83,  -0.518505,-9.395,4.227,1
662	start.hed	501.87,  -1.413288,-3.546,-10.427,1
1015	start.hed	509.45,  -2.210762,-6.125,2.560,0
631	start.hed	502.97,  -0.224243,6.052,6.697,0
987	start.hed	535.31,  0.810531,0.167,-13.900,1
1868	start.hed	504.80,  -0.223208,-7.625,8.334,1
1858	start.hed	509.31,  -2.567273,-1.938,-5.759,0
2411	start.hed	508.86,  2.826467,1.360,-5.023,1
2650	start.hed	514.47,  -0.189560,-0.434,6.914,1
2820	start.hed	512.66,  -2.059777,-4.924,4.010,0
4337	start.hed	507.97,  -1.674264,-12.061,-2.697,1
4559	start.hed	509.01,  1.952059,7.826,-0.188,0
5641	start.hed	505.98,  2.969841,-7.264,-10.619,0
5852	start.hed	506.77,  1.738907,4.779,-0.548,0
6591	start.hed	506.43,  -1.719804,-5.403,-1.613,1
6941	start.hed	506.04,  -0.409032,-10.034,9.822,1
7063	start.hed	508.82,  2.034983,4.677,-1.224,1
7886	start.hed	510.89,  -0.876795,-0.173,11.298,0
7919	start.hed	505.58,  1.860498,1.295,10.379,1
8477	start.hed	507.14,  2.818128,-5.421,-6.066,0
10358	start.hed	507.87,  0.060379,6.836,7.518,1
10566	start.hed	503.07,  -0.491550,0.976,5.776,0
10567	start.hed	505.87,  1.521042,10.327,9.026,1
10777	start.hed	510.32,  2.558157,3.322,-6.946,0
12750	start.hed	505.80,  1.299039,-1.985,12.310,0
12647	start.hed	506.71,  -2.982704,-9.962,-2.567,0
14316	start.hed	502.59,  0.268036,-3.780,12.610,0
14350	start.hed	508.08,  -2.411132,-5.863,5.948,0
14549	start.hed	519.43,  -2.792685,-1.312,-13.701,1
