#LST
382	proj.img
985	start.hed	506.45,  -2.953529,5.186,-7.984,1
1772	start.hed	509.27,  1.516130,-3.442,-11.701,1
2544	start.hed	516.66,  -0.324445,-3.161,7.036,1
3289	start.hed	507.97,  -0.876913,-1.945,6.714,1
4044	start.hed	510.63,  1.542229,7.456,-1.489,1
4901	start.hed	506.63,  -1.479741,-7.169,11.071,0
5050	start.hed	502.36,  -2.698438,-8.824,-0.674,1
5634	start.hed	507.94,  2.109308,4.925,3.048,1
5973	start.hed	500.66,  -1.042796,-3.889,6.250,0
6581	start.hed	498.97,  -1.119642,-4.845,-3.880,1
7951	start.hed	505.72,  2.004761,10.637,9.055,0
9379	start.hed	501.83,  -0.060107,10.351,6.011,0
10209	start.hed	508.68,  -0.140736,4.951,9.186,0
10210	start.hed	506.34,  2.424592,7.567,-4.600,1
11275	start.hed	508.95,  1.310991,7.263,-0.839,0
11370	start.hed	504.32,  -2.196990,4.750,-5.581,1
11793	start.hed	509.52,  -0.572020,8.423,9.018,0
11934	start.hed	502.94,  2.805345,5.810,-1.988,1
12079	start.hed	510.10,  2.822736,-2.940,-11.129,0
12206	start.hed	510.10,  2.822736,-2.940,-11.129,0
12265	start.hed	512.49,  2.432672,3.957,-0.953,1
12928	start.hed	510.06,  0.453398,3.781,7.579,0
13707	start.hed	508.92,  -0.714355,-7.516,-0.652,1
15004	start.hed	518.89,  2.994580,-4.488,-5.279,0
