#LST
528	proj.img
216	start.hed	515.33,  2.542007,1.146,-5.374,1
764	start.hed	501.45,  -0.097975,0.398,9.809,1
199	start.hed	505.94,  -2.833253,-1.269,-7.151,0
1321	start.hed	505.93,  0.285305,6.364,6.708,1
1379	start.hed	512.63,  0.818225,8.546,4.041,1
1961	start.hed	507.64,  2.061830,6.358,-2.051,0
2099	start.hed	514.02,  1.133826,13.101,0.712,1
2500	start.hed	520.92,  1.299663,-7.955,-4.604,0
2625	start.hed	504.59,  1.946355,9.590,-5.406,0
3009	start.hed	511.01,  -1.284557,-1.623,-1.648,0
3024	start.hed	509.55,  0.458673,2.961,8.566,0
3025	start.hed	503.69,  0.205096,0.870,6.791,1
3386	start.hed	510.13,  1.198259,-6.291,4.178,0
3506	start.hed	517.77,  -2.449366,-5.071,1.047,1
3665	start.hed	505.77,  -1.815196,-6.639,-1.499,0
3978	start.hed	505.44,  -1.341771,3.700,8.241,1
3983	start.hed	501.13,  -2.704854,-7.720,-11.954,0
4669	start.hed	506.77,  -0.835234,-5.614,2.660,0
4946	start.hed	512.25,  0.547705,3.895,0.078,1
5026	start.hed	503.84,  0.396710,4.909,2.288,1
5794	start.hed	511.64,  -1.269861,-6.960,3.323,1
6181	start.hed	510.15,  -2.624655,-4.060,-3.626,1
7147	start.hed	502.96,  -0.201638,-0.711,1.529,1
7600	start.hed	504.60,  -1.834056,-9.749,9.117,1
8267	start.hed	500.21,  -1.603020,-11.156,-5.527,0
8276	start.hed	504.18,  -1.759932,5.522,-3.474,0
8573	start.hed	509.42,  1.261935,5.356,-3.657,1
9244	start.hed	507.90,  1.278226,2.119,7.537,0
9270	start.hed	506.37,  -1.605933,-3.916,8.914,1
10451	start.hed	513.49,  2.511304,1.124,-1.111,1
10898	start.hed	509.66,  1.279776,4.334,-8.789,1
10829	start.hed	506.41,  3.232737,10.495,-6.292,1
11287	start.hed	509.13,  -0.680550,-7.743,1.651,0
12713	start.hed	503.85,  -2.835529,-2.079,-1.749,1
12801	start.hed	507.69,  -1.712781,-7.683,-4.486,0
13190	start.hed	504.51,  -0.281896,1.328,2.162,0
13529	start.hed	504.51,  -0.281896,1.328,2.162,0
14713	start.hed	505.35,  -2.669955,-1.484,8.887,0
15156	start.hed	508.61,  -0.983903,-6.846,5.078,0
