#LST
668	proj.img
1324	start.hed	505.32,  -0.275330,-0.079,4.811,0
2266	start.hed	506.60,  2.583227,-0.579,-4.734,0
2600	start.hed	512.51,  -1.445748,-4.821,-7.457,0
3637	start.hed	512.45,  3.071543,-5.560,-3.362,1
3670	start.hed	512.62,  2.270036,7.664,-2.504,0
3671	start.hed	505.18,  -0.697154,-3.402,3.276,0
4086	start.hed	511.16,  -1.173844,-1.893,8.441,1
4504	start.hed	503.81,  0.670129,4.637,3.503,0
4528	start.hed	512.80,  1.979869,7.212,-0.383,1
4725	start.hed	515.44,  0.654090,2.837,5.435,1
4836	start.hed	506.95,  -2.859527,0.117,-12.774,1
6228	start.hed	507.19,  2.107164,1.194,-4.926,0
7089	start.hed	505.23,  2.513119,-6.783,-10.177,0
7691	start.hed	502.63,  -2.190890,-6.250,3.730,1
8278	start.hed	506.78,  1.634040,1.637,-12.415,0
8491	start.hed	507.93,  -2.548692,-3.164,-4.291,0
9240	start.hed	506.94,  -0.516826,-5.811,3.265,1
10107	start.hed	511.19,  0.157564,2.432,7.346,0
10383	start.hed	503.81,  -1.581128,-5.828,-0.477,1
10675	start.hed	503.99,  0.528607,6.369,-4.372,0
12652	start.hed	499.75,  0.407327,-0.688,9.765,0
12927	start.hed	504.47,  2.799715,11.785,-1.303,1
13260	start.hed	514.45,  -2.452708,-5.533,-0.098,0
13290	start.hed	506.32,  1.528654,7.197,-6.713,1
13830	start.hed	514.63,  2.465530,6.505,-6.876,1
