#LST
316	proj.img
467	start.hed	507.58,  1.861320,9.865,-0.980,1
681	start.hed	509.30,  -0.851070,-8.751,9.371,0
1225	start.hed	507.69,  -0.809504,-0.492,3.356,0
2791	start.hed	508.15,  -1.078472,-8.835,8.893,0
3211	start.hed	513.46,  -0.032052,-0.575,10.642,0
3830	start.hed	514.58,  1.372900,5.749,1.484,1
5107	start.hed	503.62,  -3.059555,-3.752,-7.651,1
5669	start.hed	504.67,  -0.322653,-2.685,10.468,1
5850	start.hed	503.42,  -0.661301,-10.291,9.239,0
6115	start.hed	503.61,  -1.172971,-8.114,2.044,1
6365	start.hed	508.67,  -1.879828,0.094,2.002,1
6370	start.hed	503.26,  2.797193,0.366,-3.820,0
6295	start.hed	505.73,  -0.752579,-6.243,9.871,0
6536	start.hed	505.75,  2.001788,4.090,3.273,0
7033	start.hed	503.05,  2.756032,0.749,-1.004,0
7809	start.hed	515.92,  2.815029,6.839,-3.467,0
8341	start.hed	506.37,  -2.113064,-2.388,-0.936,1
8681	start.hed	509.63,  1.996329,6.353,-3.368,0
10137	start.hed	509.39,  2.196985,6.930,-5.416,1
10893	start.hed	507.56,  -0.469293,-2.508,6.214,1
11263	start.hed	508.87,  -2.123298,-3.602,-1.307,1
11346	start.hed	501.42,  -0.590773,-1.333,5.082,1
11714	start.hed	504.31,  -2.599699,-3.591,0.768,0
11856	start.hed	505.62,  -1.351509,-2.897,0.316,0
12037	start.hed	510.86,  1.318436,10.022,4.968,0
12114	start.hed	504.21,  -0.877640,0.728,4.641,1
12164	start.hed	510.86,  1.318436,10.022,4.968,0
12241	start.hed	504.21,  -0.877640,0.728,4.641,1
12990	start.hed	503.81,  0.091470,-0.107,2.173,0
13401	start.hed	508.52,  1.920809,0.238,0.635,1
13442	start.hed	507.11,  -2.150086,-7.997,-4.038,0
14213	start.hed	512.23,  -3.169822,0.685,1.625,0
14438	start.hed	504.67,  -3.239182,-7.079,1.352,0
15209	start.hed	504.55,  1.449244,-12.243,-6.936,1
15230	start.hed	509.95,  2.731007,-11.846,-6.244,0
