#LST
628	proj.img
37	start.hed	511.87,  2.846580,-2.632,-9.134,0
1056	start.hed	503.65,  0.416090,-9.361,2.635,0
854	start.hed	504.64,  1.896301,5.293,0.620,0
1582	start.hed	510.34,  -2.428260,1.025,-6.401,1
2405	start.hed	508.67,  -1.002028,-1.077,2.500,1
3162	start.hed	509.26,  0.158609,1.890,6.800,1
3262	start.hed	504.83,  1.174461,3.067,6.444,1
3245	start.hed	511.05,  0.158218,1.766,6.757,1
3675	start.hed	507.71,  1.396012,9.384,-0.730,0
4311	start.hed	513.48,  -1.657955,-2.048,8.614,1
4909	start.hed	500.46,  -1.261739,-3.653,4.970,0
5571	start.hed	508.49,  2.149584,-3.505,-10.551,0
5740	start.hed	509.23,  2.709419,8.288,-1.944,1
6447	start.hed	512.10,  0.508745,4.873,8.888,0
6756	start.hed	516.25,  -2.860028,3.883,7.590,1
6759	start.hed	519.24,  1.311104,12.243,-4.067,0
8108	start.hed	497.93,  1.658595,-3.121,0.829,0
8248	start.hed	502.83,  -2.965243,1.104,-8.262,1
9072	start.hed	509.14,  -1.693530,-5.545,-4.736,1
9673	start.hed	505.55,  1.327083,9.297,-0.353,0
11208	start.hed	506.28,  -0.402918,-0.592,11.774,0
11114	start.hed	497.93,  1.658595,-3.121,0.829,0
14253	start.hed	505.77,  1.770481,4.078,0.245,1
14727	start.hed	509.01,  0.728852,2.579,4.929,0
15000	start.hed	512.19,  -1.509367,-4.237,1.975,0
