#LST
164	proj.img
520	start.hed	511.72,  0.980992,8.216,-4.024,1
1377	start.hed	510.07,  -1.371773,1.097,-3.202,0
1573	start.hed	514.75,  -2.590286,2.171,-4.045,0
1680	start.hed	509.03,  -1.639613,-5.924,6.875,1
2432	start.hed	504.43,  -0.575163,7.620,6.987,1
2648	start.hed	502.57,  -2.306191,-8.980,7.971,0
2687	start.hed	506.97,  2.175958,1.511,-11.927,1
2932	start.hed	516.60,  -2.373921,2.081,-4.911,0
2912	start.hed	519.37,  0.402307,8.250,-0.327,1
2913	start.hed	510.68,  0.046866,-2.809,11.586,0
3239	start.hed	518.74,  -2.417533,-2.514,-7.340,0
3690	start.hed	514.34,  -1.593974,-6.755,-0.170,0
3760	start.hed	525.98,  1.816804,8.177,2.888,0
4563	start.hed	512.89,  -2.029844,3.379,-11.021,0
5046	start.hed	506.62,  -1.987295,10.924,-9.742,1
5105	start.hed	512.79,  0.000273,-2.924,3.042,0
5321	start.hed	507.65,  -1.530205,-3.172,-8.993,0
5497	start.hed	513.45,  2.734452,-3.402,-4.039,1
5511	start.hed	514.94,  -2.010908,-4.975,10.971,1
6086	start.hed	513.81,  -1.571199,-12.237,8.014,1
7139	start.hed	508.02,  0.850556,10.329,-0.325,1
7705	start.hed	511.86,  2.950104,-6.282,-7.055,1
7786	start.hed	509.02,  1.609360,3.351,2.790,0
7870	start.hed	510.38,  0.199143,3.440,5.881,1
7758	start.hed	515.79,  1.711422,-4.546,7.499,0
8882	start.hed	505.86,  -0.234416,-7.142,3.600,0
10746	start.hed	510.50,  -2.510369,-7.671,1.221,1
10755	start.hed	513.05,  -0.095421,-9.766,4.520,0
10923	start.hed	506.99,  1.997408,-5.255,-11.565,0
13185	start.hed	510.07,  1.454017,5.720,3.824,0
13387	start.hed	510.02,  1.937808,4.000,2.280,0
13524	start.hed	510.07,  1.454017,5.720,3.824,0
13637	start.hed	507.24,  1.378645,-4.172,-8.830,1
13806	start.hed	509.79,  0.748590,5.791,-5.056,0
13910	start.hed	521.90,  2.717938,4.401,-3.117,0
14163	start.hed	505.93,  -1.804476,-2.835,-5.679,0
14407	start.hed	503.81,  0.120736,6.502,3.269,1
14620	start.hed	509.23,  -2.230868,5.544,-11.423,0
