#LST
384	proj.img
234	start.hed	521.29,  -1.002083,-8.024,0.440,1
58	start.hed	511.41,  0.746576,7.368,3.144,0
92	start.hed	509.79,  -0.927612,-0.888,8.155,0
845	start.hed	505.92,  -3.043405,-1.493,-7.152,0
907	start.hed	503.47,  3.124114,5.747,-4.989,1
3367	start.hed	505.33,  2.844314,-1.691,-4.632,0
3385	start.hed	506.52,  1.748475,4.923,-3.716,0
3234	start.hed	514.43,  -0.175294,2.834,5.723,0
3514	start.hed	507.73,  -0.980582,-3.189,11.641,0
5851	start.hed	504.97,  -0.159357,3.575,10.223,0
6344	start.hed	508.28,  -1.204161,-8.470,-3.180,1
6743	start.hed	503.83,  1.882173,9.154,-8.182,0
7426	start.hed	504.93,  3.004802,-3.311,-5.058,0
7342	start.hed	503.77,  -1.034387,-1.172,4.264,0
7520	start.hed	505.41,  3.003601,-0.981,-5.098,0
8443	start.hed	505.70,  1.515464,8.670,9.302,1
9114	start.hed	506.24,  1.875864,4.064,-1.152,1
9535	start.hed	507.49,  1.244352,0.933,5.283,1
9693	start.hed	507.99,  -2.967763,-5.139,-11.326,0
9547	start.hed	515.60,  -0.686694,-13.875,-1.646,1
10049	start.hed	505.77,  1.583301,10.795,5.152,1
10752	start.hed	502.69,  2.604706,-3.222,-1.992,0
12112	start.hed	509.83,  -1.138591,-4.126,1.081,1
12239	start.hed	509.83,  -1.138591,-4.126,1.081,1
12744	start.hed	506.99,  -2.979413,-11.547,6.714,0
13205	start.hed	509.89,  -1.747332,-9.710,-9.171,0
13544	start.hed	509.89,  -1.747332,-9.710,-9.171,0
13963	start.hed	509.48,  1.326178,8.574,4.735,1
13984	start.hed	518.21,  -0.759104,-1.514,2.333,1
14211	start.hed	512.52,  -0.121895,4.595,7.795,0
14100	start.hed	514.68,  -1.522354,-5.134,4.955,0
14801	start.hed	508.05,  -2.709277,1.803,-6.254,1
15150	start.hed	514.26,  -0.842386,-6.962,0.731,1
