#LST
296	proj.img
656	start.hed	508.24,  -0.970302,9.067,-1.652,1
597	start.hed	511.70,  -2.508099,-6.255,-2.740,0
620	start.hed	503.45,  1.312966,-5.588,-13.120,1
1191	start.hed	510.58,  -1.902830,-5.529,5.763,1
1620	start.hed	509.66,  -2.803582,-8.987,3.547,0
1953	start.hed	509.46,  2.738106,-7.792,0.191,1
2050	start.hed	510.81,  -2.285260,-9.797,2.838,0
2343	start.hed	503.26,  -0.575959,6.773,11.254,1
2079	start.hed	516.06,  -3.164268,12.658,5.975,0
2005	start.hed	512.07,  -0.992991,-8.185,11.629,0
2370	start.hed	529.06,  -2.106361,-12.080,0.827,1
3348	start.hed	513.01,  0.891956,-5.763,4.670,1
3578	start.hed	508.89,  0.820736,5.417,-2.522,1
4054	start.hed	524.78,  2.336718,-0.453,-8.004,1
4773	start.hed	506.15,  1.723879,12.973,-1.564,0
5587	start.hed	508.65,  -0.766548,-11.116,1.675,1
5840	start.hed	507.00,  -2.817589,-11.585,2.592,0
7698	start.hed	511.19,  2.653263,-7.275,-5.570,1
7787	start.hed	508.88,  -1.259593,-4.856,-3.726,1
7853	start.hed	504.35,  -1.596521,-3.327,11.677,0
8047	start.hed	513.87,  2.243042,-0.761,-6.124,1
8049	start.hed	511.89,  -2.900032,3.258,-9.646,0
8588	start.hed	520.35,  -2.397340,-8.320,-9.930,1
9556	start.hed	517.66,  1.962472,4.708,7.960,0
10008	start.hed	508.61,  1.210410,3.622,-12.404,0
10511	start.hed	504.98,  -0.618145,-11.624,-1.366,0
10819	start.hed	510.46,  1.469841,1.583,9.018,1
11052	start.hed	513.87,  2.243042,-0.761,-6.124,1
11054	start.hed	511.89,  -2.900032,3.258,-9.646,0
11802	start.hed	502.78,  1.951976,3.790,-10.846,1
11827	start.hed	510.42,  2.284139,11.949,-0.286,0
13252	start.hed	528.22,  1.416466,9.302,4.880,0
13465	start.hed	507.41,  -1.143176,-4.163,11.270,1
13710	start.hed	513.05,  -1.052171,11.276,-5.487,1
14049	start.hed	506.22,  1.006334,8.577,-5.579,1
14065	start.hed	512.09,  -0.133373,-6.680,3.839,0
14068	start.hed	507.01,  -0.436148,-8.414,-11.566,1
14887	start.hed	507.56,  0.121248,-11.068,-8.381,1
