#LST
231	proj.img
409	start.hed	505.65,  -0.179020,-4.235,7.502,1
841	start.hed	503.03,  -0.902860,-10.779,0.553,1
2251	start.hed	510.60,  -2.034827,5.230,8.567,0
2195	start.hed	505.43,  2.411914,4.316,-1.107,1
2915	start.hed	506.87,  -0.532653,1.442,8.918,0
3625	start.hed	505.81,  -3.032701,-3.688,-4.584,1
3984	start.hed	513.42,  -2.004025,-7.532,-10.473,0
4873	start.hed	503.10,  -2.712576,-4.815,-6.674,0
5381	start.hed	504.46,  0.678122,2.432,2.214,0
6794	start.hed	507.24,  0.690333,0.659,5.069,1
6914	start.hed	514.28,  1.066386,-13.068,2.006,1
6927	start.hed	502.33,  1.706867,6.113,6.244,1
6559	start.hed	501.78,  -2.170588,-9.040,-2.907,0
7701	start.hed	507.66,  -0.208222,2.192,7.369,0
8360	start.hed	504.01,  1.144953,11.537,-6.497,0
8288	start.hed	504.60,  1.192694,7.517,-3.311,1
8811	start.hed	506.92,  -0.300437,-5.798,2.073,1
9450	start.hed	505.65,  -1.086362,9.524,5.188,0
9794	start.hed	508.04,  2.072008,3.270,1.444,1
11274	start.hed	507.92,  -0.181492,3.895,8.683,0
12361	start.hed	500.33,  -0.688113,0.771,2.265,1
12722	start.hed	508.09,  0.229217,8.121,5.670,1
12962	start.hed	502.58,  -0.840708,-12.165,2.032,1
13282	start.hed	504.51,  -1.108329,-4.060,0.679,0
13671	start.hed	505.65,  2.378757,-7.783,-10.423,0
15023	start.hed	516.34,  -0.969840,-11.002,3.876,1
15073	start.hed	505.74,  -2.819947,-11.885,7.686,1
