#LST
482	proj.img
52	start.hed	514.40,  1.342467,5.174,3.174,0
439	start.hed	503.98,  2.818168,0.959,-3.008,0
147	start.hed	514.19,  0.311620,3.118,6.395,0
600	start.hed	507.74,  0.435663,0.201,3.163,1
1185	start.hed	514.56,  -2.838910,-1.576,-3.071,1
971	start.hed	507.48,  -2.882210,-1.290,-3.105,1
1633	start.hed	503.51,  2.668804,3.119,-6.240,0
3152	start.hed	508.76,  0.418435,4.672,5.977,1
3056	start.hed	507.42,  -0.352268,-2.758,11.156,1
3319	start.hed	513.37,  1.879881,7.728,-2.452,1
3746	start.hed	510.70,  1.006861,5.004,2.318,1
3819	start.hed	507.49,  -0.991504,6.397,-1.546,1
4284	start.hed	506.90,  -0.193509,1.608,7.396,1
4141	start.hed	506.74,  -1.863780,-5.902,0.908,1
5441	start.hed	505.83,  -3.159345,-5.197,-4.499,1
5867	start.hed	510.93,  2.069966,5.178,-0.483,0
6209	start.hed	508.51,  2.191504,5.631,-4.324,0
6625	start.hed	509.59,  -0.249492,6.925,-10.444,1
7369	start.hed	508.47,  1.839541,6.287,-2.339,1
8021	start.hed	502.60,  -1.330800,-8.324,0.982,1
9466	start.hed	515.76,  1.825241,6.634,-0.587,1
9608	start.hed	503.69,  -0.572025,-4.862,5.901,1
10253	start.hed	507.45,  -1.143231,-7.662,5.834,0
10627	start.hed	501.66,  2.234051,-2.156,-6.374,1
13234	start.hed	500.57,  1.808358,4.815,-10.715,1
13373	start.hed	515.36,  2.566710,3.808,-3.328,0
13573	start.hed	500.57,  1.808358,4.815,-10.715,1
13605	start.hed	509.90,  -0.646910,-4.443,5.327,1
14022	start.hed	506.20,  0.102363,-0.132,9.310,1
14901	start.hed	513.85,  0.059312,-0.343,9.315,1
15006	start.hed	515.51,  -1.297005,-8.392,5.804,0
15013	start.hed	509.38,  -1.609801,-7.674,-0.001,1
