#LST
364	proj.img
307	start.hed	503.67,  -2.103880,-5.960,1.998,1
576	start.hed	507.41,  -1.557084,-8.215,3.614,1
1371	start.hed	510.69,  -0.019574,-1.613,6.633,1
1711	start.hed	507.44,  -0.000000,7.000,0.000,1
1733	start.hed	502.35,  1.725952,11.124,-1.913,1
1880	start.hed	507.74,  0.791189,7.718,6.469,0
2798	start.hed	507.62,  -1.417204,8.643,8.601,1
3143	start.hed	508.44,  -0.192837,3.987,8.263,0
2879	start.hed	506.50,  1.166704,0.316,5.154,0
3919	start.hed	511.55,  1.235441,7.082,5.638,0
5674	start.hed	507.41,  -0.965127,-5.252,11.156,1
6554	start.hed	503.24,  -3.033769,12.378,-4.934,1
6724	start.hed	504.72,  0.703336,-6.437,12.762,1
7268	start.hed	506.06,  2.347784,2.028,-3.995,1
7207	start.hed	505.40,  -0.843144,-4.134,3.601,1
7221	start.hed	508.64,  -2.905260,0.717,-6.304,0
7227	start.hed	504.59,  1.498980,6.905,3.025,0
8067	start.hed	508.43,  2.691756,-0.145,2.288,0
8037	start.hed	509.57,  0.892227,3.297,2.262,1
10094	start.hed	510.51,  0.811529,6.578,-1.710,1
11042	start.hed	509.57,  0.892227,3.297,2.262,1
11073	start.hed	508.43,  2.691756,-0.145,2.288,0
11235	start.hed	502.14,  -0.369721,-5.843,6.677,0
11174	start.hed	505.82,  -2.175444,-6.682,-2.852,1
11177	start.hed	512.57,  -2.704841,-7.856,-4.147,1
11365	start.hed	511.56,  2.696858,-7.241,-4.274,1
11832	start.hed	510.80,  1.129000,-12.479,-2.156,1
12488	start.hed	499.35,  -1.014863,-2.676,5.143,0
12498	start.hed	506.37,  1.368372,4.802,5.415,1
12667	start.hed	504.69,  1.440619,4.921,3.973,1
12902	start.hed	506.88,  -0.327553,-2.901,0.841,1
13458	start.hed	507.96,  -0.340657,-1.970,3.337,1
13940	start.hed	509.54,  -3.036449,4.924,-3.991,0
14325	start.hed	510.69,  -2.624072,-0.528,-7.011,0
15012	start.hed	509.86,  0.038700,4.739,10.053,1
