#LST
68	proj.img
949	start.hed	500.60,  0.545751,10.087,10.224,0
1714	start.hed	504.88,  -1.989331,-4.867,-1.115,0
1726	start.hed	511.78,  1.859553,3.035,-8.611,1
2097	start.hed	510.57,  -2.675805,3.444,-10.998,0
2749	start.hed	510.49,  0.317611,-5.701,6.654,0
3045	start.hed	509.24,  -3.089799,-12.282,-0.182,1
3331	start.hed	511.14,  3.009008,-4.057,-3.516,1
4055	start.hed	510.24,  0.171611,-6.403,6.804,0
4376	start.hed	506.17,  0.921657,-2.017,3.872,1
4999	start.hed	502.58,  -1.149413,-2.666,-8.818,0
5176	start.hed	514.09,  0.514939,-0.357,1.967,0
5461	start.hed	507.08,  0.560858,9.494,1.156,1
5476	start.hed	513.82,  2.935561,3.427,1.208,0
5274	start.hed	505.66,  -2.490087,1.027,-9.306,0
5382	start.hed	509.72,  -2.858856,-8.444,-7.634,1
6378	start.hed	506.08,  -0.404930,-5.704,9.380,0
8620	start.hed	511.34,  0.113445,5.483,5.846,1
8728	start.hed	505.58,  -1.176862,8.473,10.622,1
8530	start.hed	502.36,  -0.592820,9.082,-1.254,1
9365	start.hed	504.44,  2.229368,2.837,-10.326,1
9195	start.hed	504.58,  1.341383,7.343,12.083,1
9198	start.hed	504.57,  -0.237399,6.736,8.965,1
9889	start.hed	507.86,  -0.718979,-6.008,1.196,0
10007	start.hed	509.91,  -0.305915,-10.843,5.410,0
10331	start.hed	501.90,  -0.703574,2.865,6.050,1
10953	start.hed	526.94,  1.448097,5.305,-5.698,1
11026	start.hed	503.08,  0.573688,-3.615,-3.135,1
11771	start.hed	504.29,  2.422415,4.677,-13.343,1
13339	start.hed	509.45,  0.881633,6.813,4.238,0
13741	start.hed	503.63,  -2.681197,-1.708,2.221,1
14041	start.hed	504.59,  -1.339679,-0.673,9.123,1
14424	start.hed	508.25,  1.858490,1.896,-0.795,1
14492	start.hed	505.91,  0.041016,13.724,0.728,1
