#LST
667	proj.img
225	start.hed	505.08,  2.977679,-1.747,-6.462,1
1061	start.hed	504.42,  -0.264251,-2.580,9.774,1
739	start.hed	507.66,  0.000687,-2.001,8.035,1
1494	start.hed	502.17,  -2.767613,-9.513,6.965,0
2608	start.hed	505.05,  1.285110,2.614,-2.652,0
3281	start.hed	508.27,  0.474445,1.643,6.993,1
3672	start.hed	509.02,  -2.154263,-8.808,4.188,1
5318	start.hed	500.87,  -2.449885,-2.501,-2.618,1
5270	start.hed	504.09,  2.538574,-1.718,-10.996,1
5551	start.hed	519.07,  -0.621796,-3.334,1.706,1
5591	start.hed	504.03,  -1.117756,11.340,0.784,1
6297	start.hed	509.09,  -0.917816,-4.325,5.261,0
7076	start.hed	507.58,  -1.252407,-5.001,3.379,1
7434	start.hed	506.65,  3.047998,2.442,-4.533,0
7846	start.hed	506.41,  0.622005,3.713,6.017,0
8073	start.hed	506.82,  0.453888,5.269,1.346,0
8304	start.hed	504.14,  -2.513364,-2.312,-4.027,0
8606	start.hed	509.59,  1.250464,7.008,4.676,1
8559	start.hed	505.94,  -1.540368,-3.386,7.684,0
8566	start.hed	543.64,  -2.207038,-8.565,-7.313,1
8861	start.hed	508.65,  0.366307,-0.119,4.754,1
8888	start.hed	504.59,  2.012376,9.281,-10.255,1
9233	start.hed	505.00,  -1.973732,-4.907,-0.573,0
9788	start.hed	507.61,  1.412268,13.287,3.342,0
10020	start.hed	505.42,  -2.452520,-4.128,-6.322,0
10443	start.hed	511.19,  2.595701,-0.527,-5.496,0
10580	start.hed	505.78,  -0.040466,-0.733,7.462,0
10867	start.hed	509.42,  -1.148334,-4.315,-0.250,1
11079	start.hed	506.82,  0.453888,5.269,1.346,0
11011	start.hed	507.03,  -3.057883,-3.058,-4.264,0
12341	start.hed	511.42,  -1.758380,-5.164,-5.532,0
13019	start.hed	503.36,  -1.485860,-5.913,-0.192,1
13035	start.hed	525.92,  -2.649930,-2.153,-8.174,1
13057	start.hed	513.96,  1.105929,5.619,3.011,1
13265	start.hed	512.82,  -1.987849,-5.495,-0.978,0
13700	start.hed	506.37,  -1.342101,-6.020,-0.118,1
13961	start.hed	504.09,  -0.067992,-3.073,8.188,0
