#LST
456	proj.img
1247	start.hed	504.99,  1.424887,7.400,-4.461,1
1176	start.hed	514.05,  1.046792,5.749,2.725,1
1523	start.hed	515.00,  2.151412,0.439,-6.162,1
1930	start.hed	516.88,  1.585468,4.632,-0.718,1
1962	start.hed	506.01,  0.735306,8.246,5.620,0
2765	start.hed	509.19,  2.631980,-6.786,9.686,1
2682	start.hed	518.28,  1.713685,10.400,-0.062,0
3421	start.hed	507.70,  -1.596707,-11.787,-2.660,0
4717	start.hed	505.68,  -3.121593,1.819,-3.349,0
5138	start.hed	501.61,  2.352315,6.210,-1.449,1
5204	start.hed	502.09,  1.999471,2.020,-4.778,1
6227	start.hed	508.86,  -0.123861,4.112,5.956,0
7817	start.hed	505.09,  0.835166,-2.908,6.507,1
7826	start.hed	503.26,  -1.056370,-1.236,2.944,0
7960	start.hed	504.80,  1.439367,12.453,-3.920,0
8400	start.hed	502.75,  0.071443,-0.209,4.392,1
8268	start.hed	503.56,  1.924861,4.508,4.863,0
8532	start.hed	509.03,  1.231246,-11.622,-7.011,1
8947	start.hed	512.43,  -2.958685,1.895,-6.660,0
9864	start.hed	520.11,  -2.005499,-5.483,-10.527,1
9987	start.hed	504.35,  0.455191,7.674,2.246,1
10099	start.hed	506.42,  -0.100440,-2.626,7.665,1
10320	start.hed	507.80,  2.773718,5.593,-7.738,1
11776	start.hed	507.67,  -1.487871,-9.892,1.754,0
14235	start.hed	508.28,  2.464846,0.558,-6.219,0
14343	start.hed	512.93,  -1.678892,-7.831,-1.503,0
14495	start.hed	502.78,  -1.050681,-4.465,-1.395,0
