#LST
69	proj.img
686	start.hed	510.15,  -0.499699,-6.776,7.221,0
485	start.hed	505.96,  1.320145,8.406,-7.109,1
4405	start.hed	510.84,  -2.972444,-0.553,-6.541,0
4825	start.hed	517.51,  2.559042,0.300,-6.969,1
4835	start.hed	504.22,  2.679376,-6.625,-7.319,1
4867	start.hed	506.78,  2.184785,-1.911,-5.418,1
5199	start.hed	507.48,  1.619286,4.617,3.468,0
5704	start.hed	509.04,  -2.300117,-12.351,3.291,1
6395	start.hed	504.56,  -2.691241,-4.470,-13.442,1
6543	start.hed	500.47,  -0.105652,-3.826,4.659,0
7275	start.hed	499.26,  1.298648,6.796,7.254,0
7485	start.hed	504.21,  -1.495882,-3.669,-3.706,0
8112	start.hed	510.39,  -2.459712,1.550,-9.910,0
8845	start.hed	511.60,  0.412662,1.016,-4.978,0
8653	start.hed	509.43,  0.478425,-1.870,12.338,0
10299	start.hed	500.23,  0.035853,9.921,9.533,1
11118	start.hed	510.39,  -2.459712,1.550,-9.910,0
11313	start.hed	499.76,  1.947234,-11.806,1.312,0
11371	start.hed	510.02,  -2.598901,-2.480,-8.547,0
12029	start.hed	510.08,  -3.026684,-7.236,-4.408,1
12156	start.hed	510.08,  -3.026684,-7.236,-4.408,1
12395	start.hed	501.54,  -0.472319,10.532,6.065,1
13108	start.hed	505.17,  -2.956879,-2.054,1.983,1
13634	start.hed	505.30,  -0.973924,-11.986,7.286,1
13821	start.hed	510.98,  2.712757,2.659,-8.369,1
14044	start.hed	507.73,  -2.370222,-2.004,2.204,1
14752	start.hed	503.66,  0.946413,6.735,3.354,0
15046	start.hed	508.00,  0.775004,-4.714,-2.206,0
15330	start.hed	507.59,  -0.791951,0.607,9.666,1
