#LST
687	proj.img
1065	start.hed	498.96,  -0.937065,-4.379,7.598,0
1215	start.hed	501.22,  0.263985,0.554,9.332,1
1388	start.hed	507.91,  -2.123802,-1.973,-0.503,0
1404	start.hed	510.21,  -0.007268,9.417,5.959,0
1739	start.hed	503.03,  -3.007875,-3.514,-7.574,0
2263	start.hed	509.53,  -2.979892,0.116,-3.363,0
2401	start.hed	531.05,  -2.748779,-7.013,-9.351,0
2349	start.hed	507.91,  -2.979592,8.589,-7.337,0
2737	start.hed	506.49,  0.291347,-0.334,1.273,1
2706	start.hed	505.98,  1.647829,12.166,-2.020,0
3342	start.hed	506.43,  -0.163089,1.458,7.467,0
3562	start.hed	512.18,  1.653016,8.354,0.219,1
3680	start.hed	542.49,  -1.739979,-12.376,-3.599,1
3807	start.hed	504.01,  -0.716240,-12.909,-5.547,0
6779	start.hed	505.98,  -1.060388,-4.319,-0.334,1
6685	start.hed	514.41,  1.697737,-13.124,-6.229,0
6573	start.hed	512.38,  0.292511,4.194,9.435,0
6975	start.hed	506.80,  -2.204474,-3.995,-12.971,0
8006	start.hed	504.32,  -1.746519,-8.090,-2.997,1
8230	start.hed	503.00,  1.072123,8.334,4.068,0
8785	start.hed	509.07,  2.811155,-4.376,-6.380,0
8987	start.hed	514.22,  3.087249,-4.460,-0.932,0
9182	start.hed	507.17,  1.203970,2.962,-10.534,1
10365	start.hed	507.73,  1.277464,2.852,4.291,1
10305	start.hed	508.26,  -2.160234,-3.645,-0.845,1
11879	start.hed	501.25,  -1.879197,5.196,-13.074,0
12466	start.hed	497.83,  -2.514757,-2.379,-1.118,0
12654	start.hed	500.27,  0.870641,3.186,-1.105,1
14229	start.hed	506.10,  0.512505,7.341,-12.228,0
15203	start.hed	506.83,  0.103781,1.680,6.648,0
15086	start.hed	505.05,  -2.424084,-9.810,-6.055,0
