#LST
193	proj.img
1261	start.hed	509.49,  0.000819,-2.983,2.998,1
1129	start.hed	505.53,  0.573892,6.184,3.820,0
1162	start.hed	504.92,  -1.831778,-5.832,-4.401,1
1507	start.hed	508.66,  0.706437,5.240,2.941,1
1924	start.hed	507.96,  -1.748187,-0.121,0.841,0
2060	start.hed	511.49,  -0.504768,-3.654,2.103,0
2832	start.hed	504.63,  0.694854,4.990,3.124,0
3525	start.hed	503.07,  -1.326970,1.332,5.009,0
4142	start.hed	506.81,  -0.769418,-0.590,3.640,0
5371	start.hed	503.05,  2.130289,2.263,-2.759,0
5800	start.hed	501.37,  0.586364,-1.055,2.172,1
6061	start.hed	503.11,  -1.064290,-5.816,-0.103,0
6345	start.hed	509.91,  2.043964,4.055,-3.785,1
6604	start.hed	509.71,  0.883252,5.171,2.626,1
7183	start.hed	509.86,  -2.672440,-8.960,-9.367,1
7661	start.hed	511.72,  1.735320,2.294,-1.130,0
8078	start.hed	509.96,  0.446652,1.134,4.068,1
7996	start.hed	507.30,  -3.044435,-2.015,-7.543,0
8210	start.hed	503.69,  2.861754,-0.291,-4.057,0
8964	start.hed	504.30,  -1.444745,-2.051,2.492,0
9588	start.hed	514.06,  1.700697,3.874,0.602,1
9856	start.hed	506.96,  -0.330371,0.808,5.037,1
10481	start.hed	512.55,  1.233368,6.458,-1.618,0
10733	start.hed	507.29,  1.441531,3.582,-1.253,0
11084	start.hed	509.96,  0.446652,1.134,4.068,1
11533	start.hed	506.49,  -0.000000,6.000,-8.000,0
11644	start.hed	506.98,  -0.000000,6.000,-8.000,0
11912	start.hed	512.52,  0.998546,5.239,6.345,0
11919	start.hed	507.53,  0.503343,-2.051,3.970,1
14052	start.hed	512.09,  -0.786674,9.971,-10.164,1
14900	start.hed	512.99,  -0.440178,-2.637,1.168,1
