#LST
694	proj.img
675	start.hed	506.74,  -2.257843,-3.132,0.381,0
622	start.hed	507.35,  -1.137369,-3.387,6.904,0
1183	start.hed	506.93,  2.017907,-0.588,-2.239,0
1286	start.hed	510.77,  -1.886502,-5.442,-2.583,1
1683	start.hed	512.86,  -1.068855,1.424,3.490,1
2030	start.hed	517.20,  -2.636014,-4.044,-1.064,0
2663	start.hed	507.74,  -0.423703,-2.933,5.320,0
3317	start.hed	512.67,  -2.211753,-4.975,-5.020,0
3861	start.hed	511.63,  -1.762816,-1.988,1.963,0
4441	start.hed	511.10,  -0.503471,-5.981,9.103,1
4511	start.hed	516.15,  -2.003144,-2.217,-9.240,0
4970	start.hed	505.50,  1.426725,3.838,1.904,1
4857	start.hed	505.68,  2.440703,1.770,-2.609,0
5889	start.hed	509.30,  -1.095104,-4.834,2.844,0
6220	start.hed	506.32,  -1.091693,-4.165,1.899,0
6516	start.hed	514.22,  -0.457547,-12.940,4.644,1
6826	start.hed	502.45,  -0.546181,-1.821,1.277,1
7410	start.hed	505.92,  -1.699735,-6.637,4.512,0
7458	start.hed	505.08,  2.234475,7.038,-2.075,1
7489	start.hed	509.21,  1.418336,4.908,-1.071,0
7902	start.hed	507.91,  -0.585170,-1.116,1.305,1
8320	start.hed	510.16,  -3.158280,3.488,-4.147,1
8624	start.hed	506.61,  -0.633798,0.305,3.084,0
9116	start.hed	513.70,  -0.586956,-3.607,3.218,1
11424	start.hed	510.36,  0.233208,-5.732,10.878,0
12975	start.hed	508.23,  0.430874,3.689,3.835,0
13734	start.hed	504.62,  -0.526042,-3.386,4.336,0
14124	start.hed	510.71,  2.566334,-0.188,-6.458,0
14165	start.hed	507.63,  -2.771759,-1.348,-1.927,0
14326	start.hed	514.42,  2.904480,3.507,-3.268,1
14723	start.hed	512.94,  -1.527489,-3.166,2.670,0
