#LST
620	proj.img
135	start.hed	510.04,  -1.635307,-2.640,-0.614,1
936	start.hed	508.28,  2.321901,1.778,2.311,0
562	start.hed	503.31,  -2.213679,3.410,-3.201,1
572	start.hed	503.30,  -1.644900,-0.833,2.634,0
1466	start.hed	513.48,  0.060032,3.524,3.629,0
1712	start.hed	504.28,  -1.077570,-10.959,-6.814,1
2271	start.hed	510.20,  1.866384,8.112,-2.717,1
2111	start.hed	504.83,  -1.908046,-12.242,-5.229,0
2940	start.hed	510.30,  -0.297305,-1.047,4.051,1
3150	start.hed	510.28,  -1.479659,-1.170,4.712,0
3233	start.hed	509.68,  -1.475656,-1.032,4.793,0
3666	start.hed	506.20,  -0.933021,-6.487,-2.030,1
3850	start.hed	511.81,  2.274827,5.372,-1.938,1
3999	start.hed	506.01,  1.738226,3.773,-1.477,0
4047	start.hed	510.94,  2.607484,3.321,-0.313,1
3953	start.hed	510.72,  0.952933,-4.734,2.117,1
4213	start.hed	508.40,  -0.063142,1.413,4.401,0
4335	start.hed	506.98,  2.580096,-2.587,-4.764,0
4677	start.hed	502.95,  2.089779,10.738,7.310,1
4741	start.hed	505.99,  0.965160,6.115,-1.201,0
5473	start.hed	511.77,  3.065616,-0.984,-2.687,0
6205	start.hed	511.60,  2.743574,4.956,-1.361,1
6411	start.hed	507.51,  0.918035,10.199,8.282,1
6838	start.hed	504.74,  2.515073,0.172,-6.213,0
7343	start.hed	505.82,  -2.305884,-7.816,0.035,0
7844	start.hed	512.09,  1.653690,13.234,1.620,0
7882	start.hed	512.77,  -2.053380,-6.679,-5.865,0
8623	start.hed	507.77,  2.300622,1.262,-5.264,1
8839	start.hed	510.05,  -0.164132,2.793,5.579,0
9211	start.hed	505.47,  -0.592397,-2.476,4.286,1
9815	start.hed	510.89,  -1.193795,-3.576,1.708,1
9844	start.hed	507.55,  2.477988,2.959,-0.653,1
10325	start.hed	506.73,  -3.120186,-4.045,-3.633,0
10445	start.hed	508.01,  1.666260,6.587,5.925,1
12599	start.hed	506.31,  -1.119340,-1.920,0.964,1
12970	start.hed	504.34,  -1.401569,10.204,-1.980,0
12987	start.hed	506.69,  -2.015035,-3.322,-3.173,1
13236	start.hed	501.37,  0.748134,5.650,2.925,0
13575	start.hed	501.37,  0.748134,5.650,2.925,0
13683	start.hed	516.08,  1.663350,6.422,1.486,1
13992	start.hed	508.90,  -1.888190,-3.395,-2.670,1
14252	start.hed	512.40,  -1.696744,-5.681,3.809,0
14744	start.hed	507.40,  2.600698,-1.916,-9.801,0
14930	start.hed	511.51,  -0.438440,-4.785,4.684,1
15045	start.hed	512.36,  -1.971417,1.249,-0.052,1
