#LST
436	proj.img
1090	start.hed	510.76,  0.785548,9.404,-2.182,0
1201	start.hed	512.32,  0.903465,1.895,9.301,1
938	start.hed	505.00,  1.409514,9.373,-6.448,0
1407	start.hed	505.76,  -1.353586,-9.225,-0.172,1
2400	start.hed	513.62,  1.461476,6.467,8.397,1
2386	start.hed	519.66,  0.121429,-0.949,6.060,1
3515	start.hed	516.09,  1.151702,7.485,-2.686,1
3563	start.hed	503.36,  2.754395,-1.991,-4.996,0
4076	start.hed	510.80,  -1.386585,-6.281,6.628,0
4795	start.hed	501.82,  1.820022,5.988,-0.184,1
4989	start.hed	504.04,  0.856205,-7.116,9.561,1
5042	start.hed	505.50,  1.730504,5.391,2.979,0
6936	start.hed	504.67,  -1.476917,-10.563,3.310,0
8070	start.hed	509.85,  -0.671101,-8.959,5.104,1
8241	start.hed	508.56,  -2.725800,-11.094,-3.586,0
9315	start.hed	514.22,  -1.476936,-6.439,3.591,0
9404	start.hed	500.58,  1.113065,11.620,1.018,0
10084	start.hed	510.89,  0.801398,9.569,2.460,0
11076	start.hed	509.85,  -0.671101,-8.959,5.104,1
11422	start.hed	509.24,  -2.950092,8.185,9.394,0
11976	start.hed	502.97,  0.262681,10.679,-9.947,1
12837	start.hed	504.25,  2.510073,11.297,1.820,1
13463	start.hed	507.25,  -2.932972,-0.383,-7.529,1
14185	start.hed	508.09,  -1.357959,-2.703,0.474,1
14262	start.hed	504.68,  2.336910,3.548,-5.253,0
