#LST
305	proj.img
1044	start.hed	504.26,  1.238300,10.605,1.640,0
334	start.hed	500.90,  1.591793,11.014,2.970,1
1099	start.hed	516.39,  -3.088233,4.367,-6.882,0
1316	start.hed	509.94,  -2.679951,-4.506,-9.165,1
2072	start.hed	515.04,  1.872218,-4.656,10.516,0
2524	start.hed	507.27,  1.695263,-5.664,4.183,0
2855	start.hed	508.46,  1.890512,7.979,-1.336,1
3362	start.hed	511.19,  -1.208571,8.313,-4.896,1
3726	start.hed	512.38,  2.377101,3.000,-4.801,0
4095	start.hed	511.02,  1.358406,7.163,2.143,0
4224	start.hed	509.13,  1.480212,7.005,-2.392,1
4304	start.hed	523.19,  -3.231448,5.482,-10.604,0
4540	start.hed	510.19,  1.258204,4.411,-3.191,1
4660	start.hed	506.90,  1.929918,2.250,1.738,1
6242	start.hed	508.93,  1.015671,5.295,4.891,0
6087	start.hed	520.57,  2.100997,1.899,-0.318,1
7286	start.hed	508.62,  -2.427065,-4.781,-1.812,1
7321	start.hed	503.84,  2.080796,3.647,-10.566,1
7854	start.hed	510.30,  -1.203642,-13.158,4.659,0
8204	start.hed	502.30,  -3.115608,-0.181,-3.875,0
8141	start.hed	502.54,  -3.059370,3.372,-5.674,0
8585	start.hed	518.63,  1.596829,13.878,2.872,0
8738	start.hed	504.34,  1.735570,7.576,-1.479,1
8683	start.hed	515.46,  1.494395,6.937,-3.270,0
9029	start.hed	504.61,  -1.634286,-4.081,-1.385,1
9596	start.hed	510.61,  0.657305,5.160,-0.363,1
9745	start.hed	506.98,  0.658570,3.473,5.815,1
10970	start.hed	517.22,  -3.107847,-2.779,-7.839,1
11209	start.hed	508.10,  -2.862455,-3.738,-5.645,1
11147	start.hed	502.54,  -3.059370,3.372,-5.674,0
11455	start.hed	510.07,  -2.899958,0.698,-2.691,0
11562	start.hed	509.28,  -2.903335,0.680,-2.629,0
12297	start.hed	508.91,  -2.960028,-1.543,-4.619,1
12519	start.hed	513.13,  -3.023976,1.672,-7.961,0
12452	start.hed	505.15,  0.087416,-0.013,7.887,0
12815	start.hed	513.51,  -3.021089,1.735,-8.011,0
14815	start.hed	504.70,  -0.082083,0.717,1.003,0
14821	start.hed	512.90,  -0.217533,-3.782,6.571,0
15243	start.hed	505.07,  -2.078732,-3.929,-11.120,0
