#LST
447	proj.img
782	start.hed	504.13,  1.375828,4.154,-1.536,0
1320	start.hed	504.03,  -2.223628,-5.644,-3.329,0
2419	start.hed	506.50,  -2.680714,-2.398,-11.796,1
2720	start.hed	506.93,  0.172905,-7.969,0.111,1
3196	start.hed	512.70,  0.657165,-12.723,5.732,0
2914	start.hed	510.34,  2.082005,4.835,-7.786,0
3221	start.hed	508.11,  -0.223689,-9.332,2.736,0
3442	start.hed	509.26,  1.046029,-12.658,7.124,1
3447	start.hed	508.34,  1.050955,2.815,7.193,1
3790	start.hed	504.30,  1.348316,5.710,-2.374,0
3973	start.hed	504.52,  -2.705644,12.786,-6.997,0
4910	start.hed	510.93,  2.537581,9.568,-7.941,1
5155	start.hed	504.54,  1.383894,-4.011,-6.337,0
5783	start.hed	506.16,  -2.180069,10.669,-9.936,1
6313	start.hed	508.39,  0.058442,-0.685,12.269,1
6521	start.hed	506.33,  0.223932,9.615,-4.241,0
6483	start.hed	504.33,  -1.023615,-3.778,6.783,0
6784	start.hed	508.61,  2.679626,8.597,-11.048,1
7058	start.hed	506.05,  -1.970429,4.244,-3.355,0
9111	start.hed	507.48,  -1.129277,-2.837,0.306,0
10009	start.hed	503.80,  1.772959,4.291,-0.778,0
10820	start.hed	499.06,  0.195126,7.519,4.576,0
11503	start.hed	506.41,  -0.290584,-0.139,3.957,0
11614	start.hed	506.48,  -0.290548,-0.108,3.966,0
12541	start.hed	502.39,  1.765486,6.373,1.678,1
13277	start.hed	505.93,  -2.491115,0.475,0.073,1
13629	start.hed	508.88,  -1.638415,-7.269,0.743,0
13689	start.hed	513.72,  -0.561760,0.781,6.155,0
14435	start.hed	510.65,  1.173132,3.458,-7.868,0
14464	start.hed	508.31,  -1.032411,-9.198,-1.152,1
14565	start.hed	508.52,  -0.774730,2.245,7.903,0
