#LST
506	proj.img
358	start.hed	502.95,  -1.059836,-0.269,0.442,0
197	start.hed	505.65,  0.389928,-0.500,2.412,1
1610	start.hed	507.57,  0.386974,-7.350,2.827,1
1929	start.hed	507.58,  -0.765098,-1.179,5.445,0
2311	start.hed	501.86,  -0.205005,1.570,8.597,0
2317	start.hed	505.71,  2.342718,8.492,-6.095,1
2086	start.hed	507.11,  -0.404497,1.088,4.725,1
1988	start.hed	506.02,  -0.048394,6.223,10.567,0
2527	start.hed	505.65,  1.898415,10.116,0.683,1
2849	start.hed	507.86,  -0.342166,-1.825,6.090,1
2917	start.hed	507.68,  1.727004,3.958,1.847,1
3739	start.hed	510.39,  2.161923,7.197,-4.514,1
3799	start.hed	509.74,  -2.928445,-2.341,-1.127,0
3859	start.hed	505.83,  -1.742906,5.164,-3.840,0
4804	start.hed	505.81,  -2.318269,-7.589,-3.035,0
5054	start.hed	503.69,  -1.199909,-5.562,7.665,0
5076	start.hed	505.18,  1.570759,6.976,-6.993,0
5536	start.hed	506.06,  0.460387,2.276,6.530,0
6430	start.hed	498.79,  2.730664,7.795,3.700,1
7297	start.hed	504.13,  0.406850,2.008,4.626,0
7612	start.hed	504.23,  0.661643,4.762,3.870,0
7721	start.hed	502.09,  -1.692864,12.974,-2.878,1
8605	start.hed	501.78,  -1.755380,-5.657,-1.671,0
9904	start.hed	503.77,  -3.109045,-1.901,-6.721,0
11889	start.hed	505.38,  -3.299298,1.890,-3.194,0
12584	start.hed	506.21,  -1.692348,-7.568,-0.764,1
13748	start.hed	502.55,  2.450442,-10.000,8.000,1
13994	start.hed	508.93,  0.137391,-2.302,3.060,1
14143	start.hed	511.89,  1.727421,5.810,1.030,1
