#LST
274	proj.img
412	start.hed	509.79,  0.509305,9.118,5.581,1
1017	start.hed	504.48,  -1.652115,-9.119,9.062,1
741	start.hed	508.03,  -2.277622,-0.666,-9.379,1
1087	start.hed	508.76,  0.368720,-6.909,10.138,1
589	start.hed	513.90,  -2.948539,1.169,-9.121,1
1966	start.hed	510.91,  -1.924914,-3.067,-11.836,1
2509	start.hed	512.34,  1.624951,2.988,11.110,1
4746	start.hed	505.24,  -2.054367,7.986,-4.937,1
5664	start.hed	506.88,  -2.513294,-7.999,-6.710,0
5688	start.hed	508.41,  -1.707832,-5.249,-6.749,0
5846	start.hed	506.50,  -0.378849,8.296,11.027,1
5934	start.hed	510.90,  -2.488157,-10.217,-1.851,1
6945	start.hed	519.41,  2.861336,-5.189,-9.340,0
7079	start.hed	513.48,  2.895452,5.287,1.341,0
7088	start.hed	507.05,  0.699110,-2.643,8.840,1
7820	start.hed	513.32,  -1.499029,-5.862,6.059,0
8198	start.hed	504.58,  -0.565573,-9.745,-3.763,1
8695	start.hed	505.48,  -0.684144,-1.382,9.224,0
10186	start.hed	509.39,  -1.818535,0.208,-7.733,1
10680	start.hed	515.19,  -0.891603,-4.550,-4.384,1
12023	start.hed	508.32,  -1.304732,-8.109,6.720,0
12150	start.hed	508.32,  -1.304732,-8.109,6.720,0
12955	start.hed	506.89,  2.299267,12.188,-5.244,1
13459	start.hed	503.00,  -2.902002,-3.335,-11.134,1
14154	start.hed	503.88,  2.636193,0.877,-11.506,1
14688	start.hed	509.52,  2.563409,-0.264,-12.924,0
