#LST
463	proj.img
781	start.hed	504.49,  -1.275992,-11.223,2.253,1
1178	start.hed	513.21,  -1.567683,-3.042,-7.953,0
1311	start.hed	509.87,  -2.239411,-4.981,-6.017,0
1349	start.hed	503.76,  -2.700868,-13.967,-0.546,0
1615	start.hed	505.18,  2.543686,-0.988,-3.460,1
2225	start.hed	506.61,  2.411824,-10.424,6.022,0
2233	start.hed	502.92,  -0.338430,-6.901,-10.323,1
2175	start.hed	513.49,  -3.049942,7.355,1.558,0
2520	start.hed	505.89,  2.273009,2.514,-12.543,0
2780	start.hed	509.06,  3.092925,-4.939,-6.115,1
4743	start.hed	527.94,  1.837476,10.827,0.899,0
5847	start.hed	499.34,  3.042778,2.271,-6.160,0
6969	start.hed	502.94,  -0.843002,-3.554,1.016,0
6829	start.hed	507.89,  -2.114144,-4.360,-4.810,0
9546	start.hed	506.97,  0.953023,-1.309,5.884,0
10941	start.hed	506.42,  -2.406998,-12.444,-6.326,0
11185	start.hed	512.36,  -2.971705,6.649,-2.605,0
11361	start.hed	508.52,  -2.224866,-2.404,-3.309,1
11535	start.hed	506.02,  -1.738622,-8.880,7.595,1
11647	start.hed	505.96,  -1.740018,-8.992,7.530,1
13008	start.hed	508.33,  2.145385,5.224,-13.460,1
13295	start.hed	510.17,  -1.193443,-0.451,10.034,1
13351	start.hed	503.39,  -2.326287,-4.444,-5.202,1
14275	start.hed	509.94,  -2.284518,-6.785,-1.555,1
