#LST
607	proj.img
647	start.hed	503.29,  -0.923083,6.528,12.168,1
761	start.hed	507.28,  2.770014,-9.430,-6.568,1
2337	start.hed	505.54,  1.974832,3.448,-8.451,1
3754	start.hed	514.40,  -0.093111,-2.124,4.708,0
3783	start.hed	509.96,  -1.066573,-3.805,5.602,0
3878	start.hed	511.06,  0.010112,11.774,-4.411,1
4096	start.hed	509.50,  -2.316128,5.176,-6.364,1
4329	start.hed	515.83,  1.352798,8.156,4.242,0
4576	start.hed	507.86,  -1.600188,-4.309,-6.147,0
5660	start.hed	506.68,  -0.348246,-2.108,3.917,1
6077	start.hed	503.06,  -2.725526,-5.111,-11.521,1
6492	start.hed	510.97,  -2.777183,-2.546,-5.067,1
6732	start.hed	502.05,  -1.602728,-8.376,-3.828,1
6733	start.hed	505.21,  -2.546486,-1.850,-5.200,1
7261	start.hed	511.16,  0.408509,-0.031,8.022,1
7665	start.hed	536.95,  -2.038688,-5.881,4.730,1
8796	start.hed	510.87,  -2.583528,-1.308,-4.554,0
9756	start.hed	512.74,  1.688725,6.552,-1.165,0
10334	start.hed	507.70,  3.051641,-3.752,-0.960,0
10501	start.hed	504.17,  -1.986971,7.638,3.569,0
10773	start.hed	504.72,  1.929976,0.582,-12.491,1
11206	start.hed	503.94,  0.000936,0.005,5.977,1
11473	start.hed	512.86,  -0.364949,-0.033,4.875,0
11581	start.hed	513.80,  -0.363867,-0.067,4.923,0
12693	start.hed	509.02,  -0.497031,3.889,5.675,0
12679	start.hed	500.91,  1.783384,-8.319,-9.833,1
14311	start.hed	498.32,  2.917146,12.190,2.643,0
15044	start.hed	509.51,  2.322147,-11.382,-4.561,1
15157	start.hed	514.57,  1.091453,6.595,-2.025,1
