#LST
96	proj.img
861	start.hed	503.51,  1.573779,-2.940,-2.989,0
1802	start.hed	506.42,  -1.182381,4.586,8.933,1
2309	start.hed	507.37,  -2.067806,6.024,-11.702,0
3153	start.hed	510.55,  0.399142,-6.840,5.997,0
3554	start.hed	511.39,  -2.211307,-1.170,-1.497,0
3583	start.hed	511.73,  -2.851773,-6.780,-5.534,1
3588	start.hed	507.70,  2.147064,-0.820,0.779,0
4443	start.hed	510.08,  0.000898,-8.042,5.028,0
5519	start.hed	510.03,  2.872938,-1.734,-1.693,0
6368	start.hed	508.61,  -0.352422,-5.945,1.764,0
6931	start.hed	507.72,  -1.601737,-3.841,6.407,1
8715	start.hed	501.52,  -1.930859,-10.466,-8.564,0
8562	start.hed	505.60,  2.851070,6.886,-5.778,0
8970	start.hed	510.23,  0.532574,10.154,8.452,1
9729	start.hed	517.47,  2.365621,-1.623,-7.404,1
10559	start.hed	503.36,  -0.319774,11.863,-5.593,0
10856	start.hed	510.03,  -1.924092,-10.492,5.217,1
11524	start.hed	505.90,  -0.191714,6.243,2.982,1
11610	start.hed	517.56,  -0.426225,-9.471,0.890,0
11635	start.hed	507.18,  -0.196494,6.214,2.741,1
12010	start.hed	505.22,  2.218570,8.796,3.010,0
12039	start.hed	508.62,  3.129936,0.956,-3.926,0
12166	start.hed	508.62,  3.129936,0.956,-3.926,0
12348	start.hed	507.59,  0.291509,-5.877,-3.670,1
12640	start.hed	509.30,  1.806019,9.825,3.339,0
13909	start.hed	512.74,  -2.267651,7.068,0.486,1
