#LST
141	proj.img
392	start.hed	505.14,  2.133955,1.819,-7.268,0
403	start.hed	503.87,  0.163632,-3.424,8.444,1
407	start.hed	514.13,  1.274891,10.813,-5.489,0
1127	start.hed	504.44,  2.074680,4.009,-4.587,0
1510	start.hed	513.37,  -2.620954,-3.692,-12.198,1
1663	start.hed	506.63,  -2.056766,-2.238,0.064,1
1617	start.hed	510.44,  1.481707,2.355,10.044,1
2699	start.hed	511.47,  -1.220871,3.324,10.217,1
3283	start.hed	503.69,  -1.475875,-5.684,-2.607,1
3200	start.hed	504.63,  -1.472165,-6.374,-2.315,1
3215	start.hed	505.01,  0.672656,7.326,2.787,1
3611	start.hed	501.98,  -0.831014,-1.509,-2.059,0
5888	start.hed	516.65,  2.577599,-4.282,-7.559,0
6925	start.hed	505.46,  -0.836332,-9.322,-0.989,1
6873	start.hed	515.22,  1.140753,11.057,-5.234,0
7160	start.hed	506.47,  -1.763035,-5.102,-9.198,1
7237	start.hed	506.63,  0.466943,7.685,4.607,0
7560	start.hed	506.69,  -1.558219,-7.216,0.629,1
7984	start.hed	503.17,  -0.597115,8.895,11.048,0
8561	start.hed	503.90,  0.924192,4.282,3.841,1
8983	start.hed	504.15,  -0.164189,3.977,9.175,0
9148	start.hed	503.04,  -2.087009,-3.007,-7.282,1
9882	start.hed	506.88,  -1.157073,-2.656,6.816,0
10575	start.hed	508.67,  -1.370460,-9.271,1.651,0
11016	start.hed	509.86,  0.684725,-3.376,10.116,1
11842	start.hed	507.34,  -1.962195,-3.950,-5.394,1
12355	start.hed	511.82,  -0.915451,-2.470,8.592,0
12675	start.hed	512.92,  -2.141206,-9.088,0.062,0
12992	start.hed	506.05,  -1.780859,-3.925,-8.246,1
13244	start.hed	506.78,  -1.646514,-7.742,-11.636,0
13350	start.hed	505.13,  -2.531552,2.165,-5.214,1
13583	start.hed	506.78,  -1.646514,-7.742,-11.636,0
14724	start.hed	513.30,  1.736008,7.740,-7.695,0
