#LST
575	proj.img
1572	start.hed	510.42,  0.502776,0.596,4.617,1
2711	start.hed	502.61,  -1.138587,-3.648,-4.690,1
3195	start.hed	507.22,  -2.962458,8.660,3.724,1
3278	start.hed	505.94,  -2.962301,8.665,3.796,1
4220	start.hed	516.34,  -0.527779,-1.681,4.409,0
4675	start.hed	506.23,  1.800913,-5.231,-10.674,0
4983	start.hed	503.35,  -0.039446,-0.394,2.620,0
5302	start.hed	505.58,  1.331129,8.084,1.861,1
6266	start.hed	503.61,  2.574918,4.752,-4.306,0
5990	start.hed	514.20,  -1.242249,-4.957,2.828,1
6924	start.hed	506.90,  -1.378344,0.639,13.397,1
7171	start.hed	514.86,  1.894298,-0.271,-10.459,1
7461	start.hed	507.10,  -0.604980,-10.245,5.524,0
8309	start.hed	506.85,  0.520846,3.065,1.811,0
8504	start.hed	503.82,  2.495551,1.672,-7.013,1
9228	start.hed	506.95,  -1.260488,-5.975,-3.222,1
9758	start.hed	514.24,  0.045925,0.503,4.313,0
10182	start.hed	514.01,  0.794420,2.648,3.607,1
10244	start.hed	506.33,  0.899309,4.825,3.071,1
11380	start.hed	506.94,  2.675640,11.972,4.069,1
11819	start.hed	503.36,  2.410110,4.080,-2.933,1
11922	start.hed	508.19,  1.165851,3.718,3.317,0
13788	start.hed	508.40,  -3.041553,1.491,-6.196,1
13986	start.hed	510.31,  -2.398549,-2.551,-2.077,0
14615	start.hed	509.83,  1.463461,3.624,-7.763,1
15093	start.hed	507.89,  0.825239,2.082,10.635,0
