#LST
410	proj.img
395	start.hed	504.31,  3.283605,8.441,-11.895,1
1380	start.hed	506.40,  0.407225,-3.120,3.383,0
1835	start.hed	517.53,  -0.282477,-7.808,3.503,0
2863	start.hed	503.80,  0.157717,10.929,-1.308,1
2985	start.hed	518.09,  -2.149953,-2.654,-4.154,1
3347	start.hed	519.99,  -1.952570,-6.974,1.924,1
3468	start.hed	506.94,  -0.850840,2.257,7.633,1
3633	start.hed	513.99,  0.463876,-4.063,7.481,0
3927	start.hed	508.36,  1.426665,3.808,-2.777,1
4208	start.hed	515.14,  -3.114837,0.362,-5.697,0
4131	start.hed	512.74,  -2.955272,1.867,-6.377,0
5127	start.hed	499.36,  -1.544358,10.394,6.003,0
5558	start.hed	517.33,  -2.289099,-6.669,-0.908,1
5763	start.hed	509.51,  1.571812,8.570,-4.966,1
5774	start.hed	509.97,  2.398119,-4.888,-0.394,1
5787	start.hed	507.40,  1.654768,7.027,3.357,1
6996	start.hed	506.74,  -2.058545,-3.598,-5.195,0
7008	start.hed	507.97,  3.085569,-0.659,-0.280,1
7094	start.hed	508.53,  -1.031528,-10.545,2.899,0
7935	start.hed	506.32,  -3.037407,9.816,-8.561,0
7746	start.hed	516.66,  -1.613581,-5.543,5.925,0
9678	start.hed	504.81,  2.316877,-0.149,-8.457,1
9544	start.hed	507.54,  2.711570,9.744,2.421,1
9983	start.hed	510.19,  -1.692187,-6.398,1.965,1
10956	start.hed	518.70,  -2.379496,-6.691,-1.389,1
12571	start.hed	504.56,  -0.896420,-12.999,6.190,0
12420	start.hed	503.49,  2.111528,9.522,-0.622,0
12867	start.hed	503.69,  -0.895488,-12.988,6.158,0
12984	start.hed	507.03,  1.457487,5.731,-6.888,1
13193	start.hed	504.95,  -1.838792,-3.214,-5.388,0
13532	start.hed	504.95,  -1.838792,-3.214,-5.388,0
13752	start.hed	519.35,  1.522991,-1.887,3.533,0
13981	start.hed	498.04,  0.718441,-10.589,7.996,0
14179	start.hed	506.16,  -1.920532,-3.876,2.590,1
