#LST
651	proj.img
253	start.hed	510.72,  -1.700993,-4.419,-2.505,0
868	start.hed	502.64,  -0.838098,-8.464,-4.143,0
1797	start.hed	507.26,  -0.508019,-2.844,4.117,0
4299	start.hed	510.15,  0.483676,12.167,-0.264,1
4167	start.hed	513.22,  -0.771886,-3.612,-11.721,0
4466	start.hed	518.09,  -2.035460,-5.671,-4.820,0
5268	start.hed	501.09,  1.257177,4.913,1.898,1
6233	start.hed	503.39,  2.565356,8.590,7.119,0
7234	start.hed	505.35,  0.618017,5.121,4.381,1
8150	start.hed	507.46,  1.973459,10.502,9.669,0
8717	start.hed	499.63,  -3.141593,4.000,-5.000,1
8867	start.hed	512.27,  0.004496,-5.969,5.151,0
9543	start.hed	513.10,  2.787235,-11.905,-5.658,1
10271	start.hed	506.34,  -0.690225,-5.429,5.449,1
11156	start.hed	507.46,  1.973459,10.502,9.669,0
11330	start.hed	510.50,  -0.047912,-1.058,4.356,1
11484	start.hed	509.31,  0.238093,-2.587,7.560,0
11845	start.hed	508.69,  2.068165,10.122,8.094,0
12426	start.hed	502.00,  2.860043,1.230,-7.842,1
12577	start.hed	509.67,  2.127057,10.848,7.118,1
12714	start.hed	503.62,  -1.406067,-5.089,-0.029,0
12873	start.hed	507.28,  2.123888,10.828,6.908,1
12998	start.hed	506.40,  2.427773,2.005,-6.311,1
14097	start.hed	507.54,  0.678718,5.676,-0.414,1
14259	start.hed	505.14,  0.334345,7.431,1.255,1
14437	start.hed	501.85,  -1.256100,-0.602,12.557,0
